tour,date_scrutin,page,commune_code,commune_code_court,commune,nuance,numero_liste_municipale,tete_liste,voix,pct_inscrits,pct_exprimes,sieges,liste_municipale,source_pdf,source_url
2,2026-03-22,11,98815,15,Maré,LREG,5,Maryline Ciwa SINEWAMI,1246,17.84,25.72,4,UC FLNKS NENGONE,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,12,98817,17,Le Mont-Dore,LDVD,4,Elizabeth RIVIERE NEE DABIN,4497,20.26,36.42,6,TOUS ENSEMBLE POUR LE MONT-DORE,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,12,98817,17,Le Mont-Dore,LDVD,6,Nina JULIÉ,5860,26.4,47.46,26,IL EST TEMPS !,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,12,98817,17,Le Mont-Dore,LREG,7,Tania OUAKA,1989,8.96,16.11,3,"LE MONT-DORE, NOTRE VILLE POUR UNE NATION SOUVERAINE",data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,13,98818,18,Nouméa,LLR,1,Virginie RUFFENACH,6027,8.8,19.12,5,"POUR NOUMEA, UNE ENERGIE NOUVELLE",data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,13,98818,18,Nouméa,LDVC,4,Philippe DUNOYER,5954,8.7,18.89,5,Nouméa : l'après,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,13,98818,18,Nouméa,LDVD,7,Sonia LAGARDE,19540,28.54,61.99,43,AVEC VOUS POUR NOUMEA,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,14,98819,19,Ouégoa,,1,Elisse Zole OUAHIO,499,22.36,31.15,3,DYNAMIQUE UNITAIRE NOUVELLE POUR L'INITIATIVE COMMUNALE - OUEGOA,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,14,98819,19,Ouégoa,,2,Barnabe Koé PEBOU HAMENE,584,26.16,36.45,13,UNI,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,14,98819,19,Ouégoa,,4,Henri Steeve PEBOU-TIDJINE,519,23.25,32.4,3,UNION CITOYENNE,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,15,98820,20,Ouvéa,,1,Maurice TILLEWA,1383,31.84,48.53,17,UC-FLNKS,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,15,98820,20,Ouvéa,,2,Jean Joel IHILY,973,22.4,34.14,4,UNITE NATIONALISTES FLNKS IAAI,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,15,98820,20,Ouvéa,,4,Moïse BAOUMA,494,11.37,17.33,2,UNI IAAI,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,16,98821,21,Païta,LDVD,2,Antoine ROMAIN,4407,25.48,43.17,26,Paita J'y crois,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,16,98821,21,Païta,LDIV,3,Patrick GREPPO,921,5.32,9.02,1,ESPRIT PAITA,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,16,98821,21,Païta,LDVC,5,Milakulo TUKUMULI,3486,20.15,34.15,6,"PAÏTA, UN NOUVEAU SOUFFLE!",data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,16,98821,21,Païta,LREG,6,Nikita Aurélie GAIA EP ALOSIO,1395,8.06,13.66,2,LISTE CITOYENNE FLNKS PAITA,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,17,98822,22,Poindimié,LREG,1,Paul Tyaou NEAOUTYINE,1150,26.07,35.7,19,UNI,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,17,98822,22,Poindimié,LDIV,2,Patrick - Jean-Luc WATANABE,1034,23.44,32.1,4,UN NOUVEL ELAN POUR POINDIMIE,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,17,98822,22,Poindimié,LREG,3,Cyrille OUMATTU,744,16.87,23.1,3,UNITE CITOYENNE ET NATIONALISTE,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,17,98822,22,Poindimié,LREG,4,Christian GROCHAIN,293,6.64,9.1,1,PWEEDI WIIMIA RENOUVEAU,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,18,98823,23,Ponérihouen,,1,Ocea NAAOUTCHOUE,745,27.64,37.59,13,UC FLNKS ET NATIONALISTES PWARAIRIWA,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,18,98823,23,Ponérihouen,,2,Astrid GOPOEA,572,21.22,28.86,3,UNION NATIONALE pour l'INDEPENDANCE PWARAIRIWA,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,18,98823,23,Ponérihouen,,3,Eugène MENREMPON,665,24.68,33.55,3,TOIMIRI BWETI PWARAIRIWA,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,19,98824,24,Pouébo,,1,Florentin DEDANE,714,29.58,47.13,4,UNION CALEDONIENNE PWEEVO,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,19,98824,24,Pouébo,,2,Nadia HEO,801,33.18,52.87,15,UNI WEDO I OWA,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,20,98825,25,Pouembout,,1,Jean-Francois Boaé PORIN-POUEA,578,28.83,41.98,5,MAIN DANS LA MAIN POUR POUEMBOUT,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,20,98825,25,Pouembout,,2,Jimmy NAOUNA,108,5.39,7.84,0,UNIS POUR UN DESTIN COMMUN,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,20,98825,25,Pouembout,,3,Yann PERALDI,691,34.46,50.18,18,MOUVEMENT CITOYEN,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,21,98826,26,Poum,,1,Marc TIDJINE,734,47.63,55.56,15,S'UNIR POUR DEMAIN UNI,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,21,98826,26,Poum,,3,Henriette TIDJINE - HMAE,587,38.09,44.44,4,UNION CITOYENNE,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,22,98827,27,Poya,,1,Julien MEUREUREU-GOWE,389,14.98,20.63,2,ALTERNATIVE NATIONALISTE NEKO POYA,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,22,98827,27,Poya,,3,Guy Michel MACHORO,213,8.2,11.29,1,UNE NOUVELLE DYNAMIQUE NEKÖ POYA,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,22,98827,27,Poya,,4,François Joseph Poindi MEANDU-POVEU,850,32.73,45.07,17,UNITE POYA NEKO 2026,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,22,98827,27,Poya,,5,Jacques GOSSOIN,434,16.71,23.01,3,NEKO POYA POUR TOUS,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,23,98829,29,Thio,,1,Téva PUAHIO,721,31.48,47.25,17,Notre jeunesse au coeur du changement,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,23,98829,29,Thio,,2,Lorenza M'BOUERI,420,18.34,27.52,3,"THIO,TERRE D'AVENIR-C'EST MAINTENANT!",data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,23,98829,29,Thio,,3,Eric TOURA,385,16.81,25.23,3,UC/PALIKA CÖÖ,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,24,98831,31,Voh,,1,Emmanuel LOUISY-GABRIEL,396,15.88,23.32,2,RENOUVOH,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,24,98831,31,Voh,,2,Joel BOATATE KOLEKOLE,696,27.91,40.99,17,UNION NATIONALE POUR L'INDEPENDANCE,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,24,98831,31,Voh,,4,David POITHILY,606,24.3,35.69,4,UC ET NATIONALISTES,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,25,98833,33,Kouaoua,,1,Alcide PONGA,423,35.07,43.16,3,UNIS POUR KAAWIIPAA,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,25,98833,33,Kouaoua,,2,Suzanne - Poawe MEREATU,124,10.28,12.65,1,VISION KAAWIIPAA,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
2,2026-03-22,25,98833,33,Kouaoua,,4,Franck DIOPOUE,433,35.9,44.18,11,NOORE KAAWIIPAA NA TRU NEWE NIARREHI RI - KOUOUA MAITRE DE SON AVENIR,data/elections/data_raw/municipales_2026/municipales_2026_t2_resultats_complets_988.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13139/109771/file/R%C3%A9sultats%2B-%2BMunicipales%2B2026%2B-%2BR%C3%A9sultats%2Bcomplets%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-23_04h08.pdf
